surname,first_name,password,id_number,first_appearance,URL
Mackleberry,Barry,6MgR6xww,C00001030,3,https://simpsonswiki.com/wiki/Barry_Mackleberry
Dalrymple,Larry,6MgR6xww,C00001031,3,https://simpsonswiki.com/wiki/Larry_Dalrymple
Winfield,Sylvia,6MgR6xww,C00001032,3,https://simpsonswiki.com/wiki/Sylvia_Winfield
Wiggum,Clancy,6MgR6xww,C00001033,3,https://simpsonswiki.com/wiki/Clancy_Wiggum
Beardsley,Jasper,6MgR6xww,C00001034,3,https://simpsonswiki.com/wiki/Jasper_Beardsley
Monroe,Marvin,6MgR6xww,C00001035,4,https://simpsonswiki.com/wiki/Marvin_Monroe
Muntz,Nelson,6MgR6xww,C00001036,5,https://simpsonswiki.com/wiki/Nelson_Muntz
Herman,Hermann,6MgR6xww,C00001037,5,https://simpsonswiki.com/wiki/Herman_Hermann
Shorter,Becky,6MgR6xww,C00001038,5,https://simpsonswiki.com/wiki/Becky_Shorter
Powell,Janey,6MgR6xww,C00001039,6,https://simpsonswiki.com/wiki/Janey_Powell
Murphy,Oscar ,6MgR6xww,C00001040,6,https://simpsonswiki.com/wiki/Bleeding_Gums_Murphy
Flanders,Rod,6MgR6xww,C00001041,7,https://simpsonswiki.com/wiki/Rod_Flanders
Bob,Cowboy,6MgR6xww,C00001042,7,https://simpsonswiki.com/wiki/Cowboy_Bob
Krustofsky,Herschel,6MgR6xww,C00001043,8,https://simpsonswiki.com/wiki/Krusty_the_Clown
Lovejoy,Timothy,6MgR6xww,C00001044,8,https://simpsonswiki.com/wiki/Timothy_Lovejoy
Springfield,Jebediah,6MgR6xww,C00001045,8,https://simpsonswiki.com/wiki/Jebediah_Springfield
Jones,Corky,6MgR6xww,C00001046,8,https://simpsonswiki.com/wiki/Jimbo_Jones
Zzyzwicz ,Kearney,6MgR6xww,C00001047,8,https://simpsonswiki.com/wiki/Kearney_Zzyzwicz
Shapiro,Dolph,6MgR6xww,C00001048,8,https://simpsonswiki.com/wiki/Dolph_Shapiro
Nahasapeemapetilon,Apu,6MgR6xww,C00001049,8,https://simpsonswiki.com/wiki/Apu_Nahasapeemapetilon
Terwilliger,Robert,6MgR6xww,C00001050,8,https://simpsonswiki.com/wiki/Sideshow_Bob
Lovejoy,Helen,jm3cZzKH,C00001051,9,https://simpsonswiki.com/wiki/Helen_Lovejoy
Leonard,Lenny,jm3cZzKH,C00001052,9,https://simpsonswiki.com/wiki/Lenny_Leonard
Fisk,Eugene,jm3cZzKH,C00001053,10,https://simpsonswiki.com/wiki/Eugene_Fisk
Carlson,Carl,jm3cZzKH,C00001054,10,https://simpsonswiki.com/wiki/Carl_Carlson
Tifton,Shawna,jm3cZzKH,C00001055,10,https://simpsonswiki.com/wiki/Princess_Kashmir
Dark,Gulliver,jm3cZzKH,C00001056,10,https://simpsonswiki.com/wiki/Gulliver_Dark
Skinner,Agnes,jm3cZzKH,C00001057,11,https://simpsonswiki.com/wiki/Agnes_Skinner
Hoxha,Adil,jm3cZzKH,C00001058,11,https://simpsonswiki.com/wiki/Adil_Hoxha
Christian,Scott,jm3cZzKH,C00001059,11,https://simpsons.fandom.com/wiki/Scott_Christian
Brockman,Kent,jm3cZzKH,C00001060,12,https://simpsonswiki.com/wiki/Kent_Brockman
Snyder,Roy,jm3cZzKH,C00001061,12,https://simpsonswiki.com/wiki/Roy_Snyder
Botzcowski,Lucille,jm3cZzKH,C00001062,13,https://simpsonswiki.com/wiki/Lucille_Botzcowski
Quimby,Joe,jm3cZzKH,C00001063,14,https://simpsonswiki.com/wiki/Joe_Quimby
Shutton,Dave,jm3cZzKH,C00001064,17,https://simpsonswiki.com/wiki/Dave_Shutton
Bailey,Mary,jm3cZzKH,C00001065,17,https://simpsonswiki.com/wiki/Mary_Bailey
Bailor,Flash,jm3cZzKH,C00001066,18,https://simpsonswiki.com/wiki/Flash_Bailor
Flanders,Maude,jm3cZzKH,C00001067,19,https://simpsonswiki.com/wiki/Maude_Flanders
Bouvier,Jacqueline,jm3cZzKH,C00001068,20,https://simpsonswiki.com/wiki/Jacqueline_Bouvier
Murdock,Lance,jm3cZzKH,C00001069,21,https://simpsonswiki.com/wiki/Lance_Murdock
Hibbert,Julius,jm3cZzKH,C00001070,21,https://simpsonswiki.com/wiki/Julius_Hibbert
Van Horne,Mel,jm3cZzKH,C00001071,22,https://simpsonswiki.com/wiki/Sideshow_Mel
Hutz,Lionel,jm3cZzKH,C00001072,23,https://simpsonswiki.com/wiki/Lionel_Hutz
Riviera,Nick,jm3cZzKH,C00001073,23,https://simpsonswiki.com/wiki/Nick_Riviera
Kurosawa,Akira,jm3cZzKH,C00001074,24,https://simpsonswiki.com/wiki/Akira_Kurosawa
Wolfcastle,Rainier,jm3cZzKH,C00001075,25,https://simpsonswiki.com/wiki/Rainier_Wolfcastle
Dondelinger,Harlan,jm3cZzKH,C00001076,25,https://simpsonswiki.com/wiki/Harlan_Dondelinger
Ziff,Artie,jm3cZzKH,C00001077,25,https://simpsonswiki.com/wiki/Artie_Ziff
Bouvier,Clarence,jm3cZzKH,C00001078,25,https://simpsonswiki.com/wiki/Clarence_Bouvier
McClure,Troy,jm3cZzKH,C00001079,26,https://simpsonswiki.com/wiki/Troy_McClure
Tatum,Drederick,jm3cZzKH,C00001080,26,https://simpsonswiki.com/wiki/Drederick_Tatum
Moleman,Hans,jm3cZzKH,C00001081,27,https://simpsonswiki.com/wiki/Hans_Moleman
Willie,Groundskeeper,jm3cZzKH,C00001082,27,https://simpsonswiki.com/wiki/Groundskeeper_Willie
Pearson,Jimmy,jm3cZzKH,C00001083,27,https://simpsonswiki.com/wiki/Jimmy_Pearson
Powell,Herb,jm3cZzKH,C00001084,28,https://simpsonswiki.com/wiki/Herb_Powell
Simpson,Mona,jm3cZzKH,C00001085,28,https://simpsonswiki.com/wiki/Mona_Simpson
Hibbert,Bernice,jm3cZzKH,C00001086,29,https://simpsonswiki.com/wiki/Bernice_Hibbert
Winthrop,Emily,jm3cZzKH,C00001087,29,https://simpsonswiki.com/wiki/Emily_Winthrop
Simmons,Beatrice,jm3cZzKH,C00001088,30,https://simpsonswiki.com/wiki/Beatrice_Simmons
Frink,Jonathan,jm3cZzKH,C00001089,30,https://simpsonswiki.com/wiki/Jonathan_Frink
Hoover,Elizabeth,jm3cZzKH,C00001090,31,https://simpsonswiki.com/wiki/Elizabeth_Hoover
Jailbird,Snake,jm3cZzKH,C00001091,33,https://simpsonswiki.com/wiki/Snake_Jailbird
Albertson,Jeffrey,jm3cZzKH,C00001092,34,https://simpsonswiki.com/wiki/Comic_Book_Guy
Hodges,Buddy,jm3cZzKH,C00001093,34,https://simpsonswiki.com/wiki/Buddy_Hodges
Richter,Dirk,jm3cZzKH,C00001094,34,https://simpsonswiki.com/wiki/Dirk_Richter
Glick,Alice,jm3cZzKH,C00001095,34,https://simpsonswiki.com/wiki/Alice_Glick
Crusher,Joey,jm3cZzKH,C00001096,35,https://simpsonswiki.com/wiki/Joey_Crusher
Kompowsky,Leon,jm3cZzKH,C00001097,36,https://simpsonswiki.com/wiki/Leon_Kompowsky
Crowley,Faith,jm3cZzKH,C00001098,37,https://simpsonswiki.com/wiki/Faith_Crowley
Dinh,Truong Van,jm3cZzKH,C00001099,37,https://simpsonswiki.com/wiki/Truong_Van_Dinh
Dominguez,Maria,jm3cZzKH,C00001100,37,https://simpsonswiki.com/wiki/Maria_Dominguez
Arnold,Bob,cXmAWam4,C00001101,37,https://simpsonswiki.com/wiki/Bob_Arnold
Fletcher,Brad,cXmAWam4,C00001102,37,https://simpsonswiki.com/wiki/Brad_Fletcher
Ellis,Chuck,cXmAWam4,C00001103,38,https://simpsonswiki.com/wiki/Chuck_Ellis
Tony,Marion,cXmAWam4,C00001104,38,https://simpsonswiki.com/wiki/Fat_Tony
Larson,Jack,cXmAWam4,C00001105,38,https://simpsonswiki.com/wiki/Jack_Larson
Amadopolis,Aristotle,cXmAWam4,C00001106,38,https://simpsonswiki.com/wiki/Aristotle_Amadopolis
Van Houten,Luann,cXmAWam4,C00001107,40,https://simpsonswiki.com/wiki/Luann_Van_Houten
Pennycandy,Lois,cXmAWam4,C00001108,41,https://simpsonswiki.com/wiki/Lois_Pennycandy
Krustofsky,Hyman,cXmAWam4,C00001109,41,https://simpsonswiki.com/wiki/Hyman_Krustofsky
Daly,Kenneth,cXmAWam4,C00001110,41,https://simpsonswiki.com/wiki/Kenneth_Daly
Dora,Lunchlady,cXmAWam4,C00001111,42,https://simpsonswiki.com/wiki/Lunchlady_Dora
Brockman,Stephanie,cXmAWam4,C00001112,45,https://simpsonswiki.com/wiki/Stephanie_Brockman
Bannister,Harv,cXmAWam4,C00001113,45,https://simpsonswiki.com/wiki/Harv_Bannister
Jass,Hugh,cXmAWam4,C00001114,45,https://simpsonswiki.com/wiki/Hugh_Jass
Troy,Doris,cXmAWam4,C00001115,47,https://simpsonswiki.com/wiki/Doris_Troy
Pye,Arnie,cXmAWam4,C00001116,50,https://simpsonswiki.com/wiki/Arnie_Pye
Lumpkin,Lurleen,cXmAWam4,C00001117,55,https://simpsonswiki.com/wiki/Lurleen_Lumpkin
Van Houten,Kirk,cXmAWam4,C00001118,58,https://simpsonswiki.com/wiki/Kirk_Van_Houten
Nahasapeemapetilon,Sanjay,cXmAWam4,C00001119,52,https://simpsonswiki.com/wiki/Sanjay_Nahasapeemapetilon
Nahasapeemapetilon,Jay,cXmAWam4,C00001120,62,https://simpsonswiki.com/wiki/Jay_Nahasapeemapetilon
Nahasapeemapetilon,Pahasatira,cXmAWam4,C00001121,63,https://simpsonswiki.com/wiki/Pahasatira_Nahasapeemapetilon
Powers,Ruth,cXmAWam4,C00001122,67,https://simpsonswiki.com/wiki/Ruth_Powers
Powers,Laura,cXmAWam4,C00001123,67,https://simpsonswiki.com/wiki/Laura_Powers
McCallister,Horatio,cXmAWam4,C00001124,67,https://simpsonswiki.com/wiki/Horatio_McCallister
Lanley,Lyle,cXmAWam4,C00001125,71,https://simpsonswiki.com/wiki/Lyle_Lanley
Gurney,Gladys,cXmAWam4,C00001126,72,https://simpsonswiki.com/wiki/Gladys_Gurney
Muntz,Eddie,cXmAWam4,C00001127,73,https://simpsonswiki.com/wiki/Eddie_Muntz
Wiggum,Sarah,cXmAWam4,C00001128,74,https://simpsonswiki.com/wiki/Sarah_Wiggum
Burns,Wainwright,cXmAWam4,C00001129,76,https://simpsonswiki.com/wiki/Wainwright_Montgomery_Burns
Burns,Clifford,cXmAWam4,C00001130,85,https://simpsonswiki.com/wiki/Clifford_Burns
Burns,Daphne,cXmAWam4,C00001131,85,https://simpsonswiki.com/wiki/Daphne_Burns
Burns,George,cXmAWam4,C00001132,85,https://simpsonswiki.com/wiki/George_Burns
Quimby,Martha,cXmAWam4,C00001133,93,https://simpsonswiki.com/wiki/Martha_Quimby
Brockman,Brittany,cXmAWam4,C00001134,95,https://simpsonswiki.com/wiki/Brittany_Brockman
Spuckler,Cletus,cXmAWam4,C00001135,98,https://simpsonswiki.com/wiki/Cletus_Spuckler
Flanders,Capri,cXmAWam4,C00001136,100,https://simpsonswiki.com/wiki/Capri_Flanders
Quimby,Freddy,cXmAWam4,C00001137,101,https://simpsonswiki.com/wiki/Freddy_Quimby
Lovejoy,Jessica,cXmAWam4,C00001138,110,https://simpsonswiki.com/wiki/Jessica_Lovejoy
Spuckler,Brandine,cXmAWam4,C00001139,132,https://simpsonswiki.com/wiki/Brandine_Spuckler
Mackleberry,Jerri,cXmAWam4,C00001139,132,https://simpsonswiki.com/wiki/Jerri_Mackleberry
Gumble,Arnie,cXmAWam4,C00001140,150,https://simpsonswiki.com/wiki/Arnie_Gumble
Naegle,Lindsey,cXmAWam4,C00001141,167,https://simpsonswiki.com/wiki/Lindsey_Naegle
Nahasapeemapetilon ,Manjula,cXmAWam4,C00001142,151,https://simpsonswiki.com/wiki/Manjula_Nahasapeemapetilon
Banner,Rex,cXmAWam4,C00001143,171,https://simpsonswiki.com/wiki/Rex_Banner
Gunderson,Gil,cXmAWam4,C00001144,187,https://simpsonswiki.com/wiki/Gil_Gunderson
Simpson,Amber,cXmAWam4,C00001145,213,https://simpsonswiki.com/wiki/Amber_Simpson
Flanders,Ginger,cXmAWam4,C00001146,213,https://simpsonswiki.com/wiki/Ginger_Flanders
Simmons,Johnny,cXmAWam4,C00001147,251,https://simpsonswiki.com/wiki/Johnny_Tightlips
Harm,Constance,cXmAWam4,C00001148,271,https://simpsonswiki.com/wiki/Constance_Harm
Terwilliger,Francesca,cXmAWam4,C00001149,364,https://simpsonswiki.com/wiki/Francesca_Terwilliger
